Latitude,Longitude
36.408779,44.320393
35.547571,45.37328
36.408779,44.320393
35.547571,45.37328
36.408779,44.320393
35.547571,45.37328
36.408779,44.320393
35.547571,45.37328
36.408779,44.320393
35.547571,45.37328
36.408779,44.320393
35.547571,45.37328
36.408779,44.320393
35.547571,45.37328
36.408779,44.320393
35.547571,45.37328
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
36.408779,44.320393
32.946913,41.491147
32.946913,41.491147
32.946913,41.491147
32.946913,41.491147
32.946913,41.491147
32.946913,41.491147
32.946913,41.491147
34.273017,43.711121
31.137146,43.897129
32.946913,41.491147
34.273017,43.711121
31.137146,43.897129
32.946913,41.491147
34.273017,43.711121
31.137146,43.897129
32.946913,41.491147
34.273017,43.711121
31.137146,43.897129
31.137146,43.897129
32.946913,41.491147
34.273017,43.711121
